GenID;OnBus;Pmax;Type;Costs
1;59;1800;Nuclear;8.85
2;91;1800;Nuclear;8.93
3;114;400;Gas/CCGT;121.56
4;12;600;Gas/CCGT;80.25
5;37;500;Hard Coal;47.42
6;35;600;Lignite;36.05
7;19;800;Gas/CCGT;76.86
8;72;1400;Hard Coal;46.72
9;25;600;Lignite;37.28
10;22;400;Gas/CCGT;129.22
11;27;600;Gas/CCGT;65.64
12;17;1300;Hard Coal;48.19
13;5;600;Hard Coal;48.53
14;34;800;Gas/CCGT;66.57
15;37;800;Gas/CCGT;79.66
16;50;800;Lignite;37.43
17;42;1000;Gas/CCGT;77.41
18;70;400;Gas/CCGT;123.39
19;78;700;Gas/CCGT;79.09
20;76;400;Gas/CCGT;126.23
21;68;1600;Hard Coal;47.85
22;85;400;Gas/CCGT;70.58
23;83;1500;Hard Coal;48.02
24;47;800;Lignite;37.06
25;91;400;Gas/CCGT;122.47
26;31;800;Gas/CCGT;78.52
27;80;800;Hard Coal;47.24
28;3;1600;Lignite;35.46
29;68;800;Gas/CCGT;77.96
30;112;680.8;Wind Offshore;0
31;111;634.8;Wind Offshore;0
32;104;1803.2;Wind;0
33;76;1738.8;Wind;0
34;73;1596.2;Wind;0
35;24;943;Wind;0
36;110;1048.8;Wind;0
37;87;874;Wind;0
38;103;874;Wind;0
39;89;874;Wind;0
40;96;920;Wind;0
41;104;920;Wind;0
42;53;1288;Wind;0
43;11;874;Wind;0
44;67;1012;Wind;0
45;28;460;Wind;0
46;15;690;Wind;0
47;75;552;Wind;0
48;107;690;Wind;0
49;106;1012;Wind;0
50;98;920;Wind;0
51;40;600;PV;0
52;55;600;PV;0
53;56;900;PV;0
54;46;400;PV;0
55;54;200;PV;0
56;65;200;PV;0
57;65;460;PV;0
58;49;600;PV;0
59;61;600;PV;0
60;62;960;PV;0
61;16;1080;PV;0
62;71;1340;PV;0
63;94;800;PV;0
64;58;600;PV;0
65;41;520;PV;0
66;40;480;PV;0
67;39;460;PV;0
68;60;440;PV;0
69;44;322;PV;0
70;45;320;PV;0
71;52;380;Wind;0
72;42;300;PV;0
78;7;10800;Hard Coal;47.8
79;43;10500;Gas/CCGT;90
80;79;4600;Lignite;36
81;100;300;Gas/CCGT;90
82;118;10700;Hard Coal;47.8
83;119;1500;Wind Offshore;0
84;120;1500;Wind Offshore;0
85;121;1000;Wind Offshore;0
86;122;1000;Wind Offshore;0
87;123;1000;Wind Offshore;0
88;124;1500;Wind Offshore;0
